観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),21日の最大値(m/s),21日の最大値の品質情報,21日の最大値観測時の風向,21日の最大値観測時の風向の品質情報,21日の最大値起時（時）,21日の最大値起時（分）,21日の最大値起時の品質情報,極値更新,10年未満での極値更新,20日までの観測史上1位の値(m/s),20日までの観測史上1位の値の品質情報,20日までの観測史上1位の値観測時の風向,20日までの観測史上1位の値観測時の風向の品質情報,20日までの観測史上1位の値観測時の年,20日までの観測史上1位の値観測時の月,20日までの観測史上1位の値観測時の日,20日までの2月の1位の値（m/s）,20日までの2月の1位の値の品質情報,20日までの2月の1位の値観測時の風向,20日までの2月の1位の値観測時の風向の品質情報,20日までの2月の1位の値観測時の年,20日までの2月の1位の値観測時の月,20日までの2月の1位の値観測時の日,統計開始年
16076,北海道後志地方,余市（ヨイチ）,,2024,02,21,09,00,5.4,4,北西,4,03,00,4,,,32.0,8,南南東,8,2018,09,05,24.7,8,北北西,8,2009,02,21,2008
16091,北海道後志地方,小樽（オタル）,47411,2024,02,21,09,00,10.2,4,西南西,4,03,09,4,,,44.2,8,西南西,8,2004,09,08,27.0,8,北,8,2004,02,23,1943
16156,北海道後志地方,共和（キョウワ）,,2024,02,21,09,00,13.6,4,西北西,4,03,21,4,,,35.6,8,西北西,8,2016,03,01,29.2,8,南南東,8,2016,02,29,2008
16206,北海道後志地方,蘭越（ランコシ）,,2024,02,21,09,00,8.5,4,西北西,4,02,15,4,,,25.3,8,西,8,2016,03,01,20.7,8,西南西,8,2021,02,16,2009
16217,北海道後志地方,倶知安（クッチャン）,47433,2024,02,21,09,00,10.6,4,北西,4,03,22,4,,,45.4,8,南南西,8,1954,09,27,31.0,8,東南東,8,1972,02,27,1951
16252,北海道後志地方,寿都（スッツ）,47421,2024,02,21,09,00,13.8,4,北北西,4,04,21,4,,,53.2,8,南西,8,1954,09,26,36.4,8,西南西,8,1973,02,07,1942
16281,北海道後志地方,真狩（マッカリ）,,2024,02,21,09,00,12.9,4,南西,4,00,04,4,,,42.2,8,南東,8,2017,04,18,28.7,8,東南東,8,2016,02,29,2009
16286,北海道後志地方,喜茂別（キモベツ）,,2024,02,21,09,00,9.3,4,北,4,04,19,4,,,29.3,8,東南東,8,2016,08,30,20.2,8,西,8,2020,02,23,2008
16321,北海道後志地方,黒松内（クロマツナイ）,,2024,02,21,09,00,10.8,4,北西,4,04,02,4,,,29.8,8,南東,8,2018,09,05,21.7,8,東南東,8,2016,02,29,2009
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405,2024,02,21,09,00,8.2,4,西北西,4,07,05,4,,,51.5,8,南西,8,2004,09,08,33.9,8,西南西,8,1988,02,03,1942
